NOTE: This timeline is rough. It was 95% accurate at the time of the 60th anniverary (November 2023). It has not been updated since then.,,
SHOW,FORMAT,TITLE
,,The Rise and Fall / The Other Doctor
,,Four Dimensions
,,Conversion
,,The Comfort of the Good
,,The Then and the Now
,,Pull To Open
,,Outrun
,,The Judas Goatee
,,The One
,,Downtime
,,Running to Stay Still
,,First Rule
,,The Organ Grinder
,,Kill God
,,Fast Asleep
,,Gently Pulls the Strings
,,"Physician, Heal Thyself"
,,Remembrance
,,The Scream
,,The Tragical History Tour
,,Time of the Ood
,,The Memory Feast
,,Fooled
,,Strange Loops
,,Hungry Thirsty Roots
,BBC TV,Death Is the Only Answer
,,A Christmas Carol
,,To follow the timeline pause at 39:06 and listen to audios ‘The Top of the Tree’ & ‘Living History’
,Big Finish,The Top of the Tree
,,Living History
,,To follow the timeline return to watch ‘A Christmas Carol’ (Series 6 Christmas special) at 39:07
,BBC Book,Heart of Stone
,,Death Riders
,,"The Good, The Bad and the Alien"
,,System Wipe
,,Cinderella and the Magic Box
,BBC TV,Space (Part 1)
,,Time (Part 2)
,BBC Book,Dead of Winter
,,The Way Through the Woods
,,Hunter’s Moon
,,Touched by an Angel
,,Paradox Lost
,,Borrowed Time
,BBC Audio,Eye of the Jungle
,BBC Book,Rain of Terror
,,The Underwater War
,,The Web in Space
,,Terminal of Despair
,BBC Audio,The King in Glass
,,"Torchwood: Miracle day should really start here, and go through to season 6 part 2. To keep stories consistent i’ve placed it in the summer hiatus (which might explain why the doctor didn’t help - he’s focused on melody."
Doctor Who,Online Episode,Prequel to The Impossible Astronaut
,BBC TV,The Impossible Astronaut
,,Day of the Moon (Part 2)
,Online Episode,Prequel to The Curse of the Black Spot
,BBC TV,The Curse of the Black Spot
,BBC DVD,#1: Bad Night
,,#2: Good Night
,BBC TV,The Doctor’s Wife
,BBC Book,Terrible Lizards
,,Extra Time
,,The Water Theif
,BBC TV,The Rebel Flesh (Part 1)
,,The Almost People
,BBC Book,A Soldier’s Education
,,The Red-Eyed League
,,The Big Sleep
,Online Episode,Prequel to A Good Man Goes to War
,BBC TV,A Good Man Goes to War (Part 1)
,Online Episode,The Battle of Demons Run: Two Days Later
,Titan Comics,Without A Paddle
Torchwood,BBC TV,The New World
,BBC DVD,Web of Lies - Part 1
,BBC TV,Rendition
,BBC DVD,Web of Lies - Part 2
,BBC TV,Dead of Night
,BBC DVD,Web of Lies - Part 3
,BBC TV,Escape to L.A.
,BBC DVD,Web of Lies - Part 4
,BBC TV,The Categories of Life
,BBC DVD,Web of Lies - Part 5
,BBC TV,The Middle Men
,BBC DVD,Web of Lies - Part 6
,BBC TV,Immortal Sins
,BBC DVD,Web of Lies - Part 7
,BBC TV,End of the Road
,BBC DVD,Web of Lies - Part 8
,BBC TV,The Gathering
,BBC DVD,Web of Lies - Part 9
,BBC TV,The Blood Line
,BBC DVD,Web of Lies - Part 10
,BBC Audio,Army of One
,,Fallout
,,Red Skies
,,Mr Invincible
,BBC Book,The Exodus Code
,Big Finish,Cadoc Point
Doctor Who,BBC Book,The Heist
,Online Episode,Prequel to Let’s Kill Hitler
,BBC TV,Let’s Kill Hitler (Part 2)
,,Night Terrors
,BBC Book,The Three Little Sontarans
,,The Three Brothers Gruff
,,Snow White and the Seven Keys to Doomsday
,BBC TV,The Girl Who Waited
,BBC Audio,Blackout
,BBC Book,The Silent Stars Go By
,BBC Interactive Game,The Gunpowder Plot
,BBC Audio,The Art of Death
,,Darkstar Academy
,,Day of the Cockroach
,Online Episode,#3: First Night
,,#4: Last Night
,BBC TV,The God Complex
,Online Episode,#5: Up All Night
,BBC TV,Closing Time
,Online Episode,Prequel to The Wedding of River Song
,BBC TV,The Wedding of River Song
,BBC Book,Horror of the Space Snakes
,Video Game,The Eternity Clock
,BBC Book,Dark Horizons
,,The Dalek Generation
,,Picnic at Asgard
,,Suspicious Minds
,,A Gamble With Time
,,Death in New Venice
,,River of Time
Sarah Jane Adv.,BBC TV,Sky (Part 1 + 2)
,,The Curse of Clyde Langer (Part 1 + 2)
,,The Man Who Never Was (Part 1 + 2)
,BBC Audio,The Children of Stell
,,Judgement Day
Doctor Who,Online Episode,"Prequel to The Doctor, the Widow and the Wardrobe"
,BBC TV,"The Doctor, The Widow and The Wardrobe"
,BBC Book,Visiting Hours
,BBC Book,Magic of the Angels
,BBC TV,Good as Gold
,BBC Audio,The Nu-Humans
,,The Empty House
,Online Episode,April
,,May
,,June
,,July
,,August
,BBC Book,In Search of lost Time
,Big Finish,The Chartwell Metamorphosis
,BBC Book,The Mist of Sorrow
,Big Finish,The Evolving Dead
,,The Day Before They Came
,,The Melting Pot
,,A Tragical History
,Online Episode,Prequel to Asylum of the Daleks
,BBC TV,Asylum of the Daleks (S7 E1)
,BBC Book,The Dalek Project
,BBC TV,Dinosaurs on a Spaceship
,Online Episode,Prequel to Ep 3
,BBC TV,A Town Called Mercy
,,The Power of Three
,BBC Audio,Sleepers in the Dust
,,Snake Bite
,BBC Book,The Angel’s Kiss
,BBC TV,The Angels Take Manhattan
,Online Episode,P.S.
,Online Episode,Rory’s Story
,BBC Book,The Girl Who Never Grew Up
,BBC Book,Clara Oswald and The Enchanted Forest
,,Father of the Daleks
,,For The Girl Who Has Everything
,,The Gift
,BBC TV,The Great Detective
,BBC Book,Devil in the Smoke: An Adventure for the Great Detective
,Online Episode,Vastra Investigates
,BBC TV,The Snowmen
,BBC Book,The Silurian Gift
,Big Finish,Young Winston
,,The Infinite Today
,,Rearguard
,,Prequel to Geronimo!
,,The Inheritance
,,The House of Masks
,,The End
,,All Of Time And Space
,,The Year
,,Curiosity Shop
,BBC Book,Summer Falls
,BBC DVD,The Inforarium
,Online Episode,Prequel to The Bells of Saint John
,BBC TV,The Bells of Saint John
,,The Rings of Akhaten
,BBC Book,The Jeopardy of Solar Proximity
,BBC TV,Cold War
,BBC Audio,Paradise Lost
,BBC Book,Shroud of Sorrow
,,Clara and the Maze of Cut Palta
,Big Finish,False Coronets
,BBC TV,Hide
,BBC DVD,Clara and the TARDIS
,BBC TV,Journey to the Centre of the TARDIS
,BBC DVD,Rain Gods
,BBC TV,Body Swap Ticket
,,The History of the Doctor
,,The Crimson Horror
,,Nightmare in Silver
,BBC Book,Into the Nowhere
,Online Episode,"She Said, He Said: A Prequel"
,BBC DVD,Clarance and the Whispermen
,BBC TV,The Name of the Doctor
,BBC Book,Plague of the Cybermen
UNIT,Big Finish,The Time Machine
,,Vanguard
,,Earthfall
,,Bridgehead
,,Armageddon
,,Power Cell
,,Death in Geneva
,,The Battle of the Tower
,,Ice Station Alpha
,,House of Silents
,,Square One
,,Silent Majority
,,In Memory Alone
,,Call to Arms
,,Tidal Wave
,,Retrieval
,,United
,,The Dalek Transaction
,,Invocation
,,The Sontaran Project
,,False Negative
,,Game Theory
,,Telepresence
,,Codesilver
,,Master of Worlds
,,Lady Christina has to be here or after because of Sam Bishop
,,Hosts of the Wirrn (Part 1 + 2)
,,Breach of Trust
,,Open the Box
Doctor Who,BBC TV,The Day of the Doctor
,Big Finish,The Two Rivers
,,Beauty On The Inside
,,Black Friday
,,Firewall
,BBC Book,Canaries
,BBC TV,The Time of the Doctor
,BBC Book,Tales of Trenzalore
,,Let it Snow
,,An Apple A Day
,,Strangers in the Outland
,,The Dreaming
,,The Night Harvest
TWELTH DOCTOR (PETER CAPALDI),,
Doctor Who,BBC Book,The Crystal Throne
,Theatrical Release,Prequel to Deep Breath
,BBC TV,Deep Breath
,,Intro the Dalek
,,Robot of Sherwood
,BBC Book,The Blood Cell
,,Silhouette
,,The Crawling Terror
,Big Finish,The Haunting
,,Inside Every warrior
,,The Cars That Ate London
,,A Photograph to Remember
,,The Ghosts of Greenwich
,,Dinning with Death
,,The Screaming Ceiling
,,Spring-Heeled Jack
,,Family Matters
,,Whatever Remain
,,Truth and Bone
,,"Merry Christmas, Mr Jago"
,,The Ghost Writers
,,Rulers of Earth
